date,region_name,value
2025-10-15,Chalatenango,1955
2025-10-15,Morazán,1803
2025-10-15,San Vicente,2307
2025-10-15,La Unión,1879
2025-10-15,Cabañas,1788
2025-10-16,San Salvador,6832
2025-10-16,Santa Ana,4706
2025-10-16,San Miguel,3903
2025-10-16,La Libertad,3694
2025-10-16,Sonsonate,2906
2025-10-16,Usulután,2976
2025-10-16,La Paz,2806
2025-10-16,Cuscatlán,2453
2025-10-16,Ahuachapán,2333
2025-10-16,Chalatenango,2003
2025-10-16,Morazán,1976
2025-10-16,San Vicente,2194
2025-10-16,La Unión,2001
2025-10-16,Cabañas,1635
2025-10-17,San Salvador,6617
2025-10-17,Santa Ana,4400
2025-10-17,San Miguel,3983
2025-10-17,La Libertad,4152
2025-10-17,Sonsonate,3155
2025-10-17,Usulután,2736
2025-10-17,La Paz,2457
2025-10-17,Cuscatlán,2226
2025-10-17,Ahuachapán,2557
2025-10-17,Chalatenango,2220
2025-10-17,Morazán,2034
2025-10-17,San Vicente,2367
2025-10-17,La Unión,2066
2025-10-17,Cabañas,1760
2025-10-18,San Salvador,6900
2025-10-18,Santa Ana,4737
2025-10-18,San Miguel,3929
2025-10-18,La Libertad,4205
2025-10-18,Sonsonate,3013
2025-10-18,Usulután,2945
2025-10-18,La Paz,2755
2025-10-18,Cuscatlán,2246
2025-10-18,Ahuachapán,2613
2025-10-18,Chalatenango,2084
2025-10-18,Morazán,1954
2025-10-18,San Vicente,2105
2025-10-18,La Unión,2040
2025-10-18,Cabañas,1855
2025-10-19,San Salvador,6214
2025-10-19,Santa Ana,4317
2025-10-19,San Miguel,3706
2025-10-19,La Libertad,3571
2025-10-19,Sonsonate,3020
2025-10-19,Usulután,2907
2025-10-19,La Paz,2592
2025-10-19,Cuscatlán,2128
2025-10-19,Ahuachapán,2265
2025-10-19,Chalatenango,1895
2025-10-19,Morazán,1844
2025-10-19,San Vicente,2035
2025-10-19,La Unión,1826
2025-10-19,Cabañas,1799
2025-10-20,San Salvador,6154
2025-10-20,Santa Ana,4445
2025-10-20,San Miguel,4251
2025-10-20,La Libertad,4116
2025-10-20,Sonsonate,2788
2025-10-20,Usulután,2779
2025-10-20,La Paz,2618
2025-10-20,Cuscatlán,2221
2025-10-20,Ahuachapán,2307
2025-10-20,Chalatenango,2132
2025-10-20,Morazán,1939
2025-10-20,San Vicente,2181
2025-10-20,La Unión,1994
2025-10-20,Cabañas,1716
2025-10-21,San Salvador,6936
2025-10-21,Santa Ana,5057
2025-10-21,San Miguel,4257
2025-10-21,La Libertad,4198
2025-10-21,Sonsonate,3278
2025-10-21,Usulután,3213
2025-10-21,La Paz,2554
2025-10-21,Cuscatlán,2583
2025-10-21,Ahuachapán,2361
2025-10-21,Chalatenango,2088
2025-10-21,Morazán,1939
2025-10-21,San Vicente,2255
2025-10-21,La Unión,1984
2025-10-21,Cabañas,1963
2025-10-22,San Salvador,6464
2025-10-22,Santa Ana,4769
2025-10-22,San Miguel,4249
2025-10-22,La Libertad,4326
2025-10-22,Sonsonate,3100
2025-10-22,Usulután,2953
2025-10-22,La Paz,2971
2025-10-22,Cuscatlán,2342
2025-10-22,Ahuachapán,2526
2025-10-22,Chalatenango,2215
2025-10-22,Morazán,1837
2025-10-22,San Vicente,2259
2025-10-22,La Unión,2008
2025-10-22,Cabañas,1925
2025-10-23,San Salvador,7319
2025-10-23,Santa Ana,4589
2025-10-23,San Miguel,4244
2025-10-23,La Libertad,4374
2025-10-23,Sonsonate,3478
2025-10-23,Usulután,2913
2025-10-23,La Paz,2846
2025-10-23,Cuscatlán,2581
2025-10-23,Ahuachapán,2761
2025-10-23,Chalatenango,2334
2025-10-23,Morazán,1925
2025-10-23,San Vicente,2405
2025-10-23,La Unión,1952
2025-10-23,Cabañas,1929
2025-10-24,San Salvador,6590
2025-10-24,Santa Ana,5229
2025-10-24,San Miguel,4191
2025-10-24,La Libertad,4053
2025-10-24,Sonsonate,3054
2025-10-24,Usulután,3021
2025-10-24,La Paz,2783
2025-10-24,Cuscatlán,2587
2025-10-24,Ahuachapán,2721
2025-10-24,Chalatenango,2345
2025-10-24,Morazán,2016
2025-10-24,San Vicente,2412
2025-10-24,La Unión,2168
2025-10-24,Cabañas,1883
2025-10-25,San Salvador,7657
2025-10-25,Santa Ana,5048
2025-10-25,San Miguel,4312
2025-10-25,La Libertad,4175
2025-10-25,Sonsonate,3073
2025-10-25,Usulután,3228
2025-10-25,La Paz,2833
2025-10-25,Cuscatlán,2408
2025-10-25,Ahuachapán,2489
2025-10-25,Chalatenango,2198
2025-10-25,Morazán,2105
2025-10-25,San Vicente,2553
2025-10-25,La Unión,2006
2025-10-25,Cabañas,1944
2025-10-26,San Salvador,6593
2025-10-26,Santa Ana,4391
2025-10-26,San Miguel,4488
2025-10-26,La Libertad,4151
2025-10-26,Sonsonate,3212
2025-10-26,Usulután,3122
2025-10-26,La Paz,2855
2025-10-26,Cuscatlán,2520
2025-10-26,Ahuachapán,2282
2025-10-26,Chalatenango,2014
2025-10-26,Morazán,1779
2025-10-26,San Vicente,2087
2025-10-26,La Unión,2013
2025-10-26,Cabañas,1900
2025-10-27,San Salvador,7180
2025-10-27,Santa Ana,5051
2025-10-27,San Miguel,3948
2025-10-27,La Libertad,3933
2025-10-27,Sonsonate,3026
2025-10-27,Usulután,2754
2025-10-27,La Paz,2741
2025-10-27,Cuscatlán,2328
2025-10-27,Ahuachapán,2624
2025-10-27,Chalatenango,2012
2025-10-27,Morazán,2014
2025-10-27,San Vicente,2259
2025-10-27,La Unión,2006
2025-10-27,Cabañas,1697
2025-10-28,San Salvador,7059
2025-10-28,Santa Ana,4801
2025-10-28,San Miguel,4471
2025-10-28,La Libertad,4733
2025-10-28,Sonsonate,3270
2025-10-28,Usulután,3088
2025-10-28,La Paz,2760
2025-10-28,Cuscatlán,2527
2025-10-28,Ahuachapán,2611
2025-10-28,Chalatenango,2288
2025-10-28,Morazán,2190
2025-10-28,San Vicente,2294
2025-10-28,La Unión,2149
2025-10-28,Cabañas,2029
2025-10-29,San Salvador,7258
2025-10-29,Santa Ana,5551
2025-10-29,San Miguel,4699
2025-10-29,La Libertad,4159
2025-10-29,Sonsonate,3269
2025-10-29,Usulután,3006
2025-10-29,La Paz,3128
2025-10-29,Cuscatlán,2521
2025-10-29,Ahuachapán,2563
2025-10-29,Chalatenango,2433
2025-10-29,Morazán,2047
2025-10-29,San Vicente,2538
2025-10-29,La Unión,2145
2025-10-29,Cabañas,2039
2025-10-30,San Salvador,7123
2025-10-30,Santa Ana,5201
2025-10-30,San Miguel,4458
2025-10-30,La Libertad,4680
2025-10-30,Sonsonate,3711
2025-10-30,Usulután,3361
2025-10-30,La Paz,3117
2025-10-30,Cuscatlán,2476
2025-10-30,Ahuachapán,2650
2025-10-30,Chalatenango,2394
2025-10-30,Morazán,2011
2025-10-30,San Vicente,2431
2025-10-30,La Unión,2090
2025-10-30,Cabañas,1953
2025-10-31,San Salvador,7684
2025-10-31,Santa Ana,4969
2025-10-31,San Miguel,4827
2025-10-31,La Libertad,4619
2025-10-31,Sonsonate,3648
2025-10-31,Usulután,3506
2025-10-31,La Paz,3074
2025-10-31,Cuscatlán,2525
2025-10-31,Ahuachapán,2630
2025-10-31,Chalatenango,2400
2025-10-31,Morazán,2237
2025-10-31,San Vicente,2651
2025-10-31,La Unión,2387
2025-10-31,Cabañas,1911
2025-11-01,San Salvador,6992
2025-11-01,Santa Ana,5068
2025-11-01,San Miguel,4598
2025-11-01,La Libertad,4643
2025-11-01,Sonsonate,3621
2025-11-01,Usulután,3370
2025-11-01,La Paz,2990
2025-11-01,Cuscatlán,2739
2025-11-01,Ahuachapán,2657
2025-11-01,Chalatenango,2439
2025-11-01,Morazán,2246
2025-11-01,San Vicente,2553
2025-11-01,La Unión,2129
2025-11-01,Cabañas,2155
2025-11-02,San Salvador,7522
2025-11-02,Santa Ana,4612
2025-11-02,San Miguel,4838
2025-11-02,La Libertad,4222
2025-11-02,Sonsonate,3068
2025-11-02,Usulután,2892
2025-11-02,La Paz,2679
2025-11-02,Cuscatlán,2364
2025-11-02,Ahuachapán,2655
2025-11-02,Chalatenango,2279
2025-11-02,Morazán,2155
2025-11-02,San Vicente,2353
2025-11-02,La Unión,2002
2025-11-02,Cabañas,1749
2025-11-03,San Salvador,6819
2025-11-03,Santa Ana,4609
2025-11-03,San Miguel,4270
2025-11-03,La Libertad,3964
2025-11-03,Sonsonate,3272
2025-11-03,Usulután,3035
2025-11-03,La Paz,3052
2025-11-03,Cuscatlán,2568
2025-11-03,Ahuachapán,2787
2025-11-03,Chalatenango,2396
2025-11-03,Morazán,1866
2025-11-03,San Vicente,2466
2025-11-03,La Unión,2311
2025-11-03,Cabañas,1896
2025-11-04,San Salvador,7394
2025-11-04,Santa Ana,5264
2025-11-04,San Miguel,4967
2025-11-04,La Libertad,4512
2025-11-04,Sonsonate,3352
2025-11-04,Usulután,3170
2025-11-04,La Paz,3008
2025-11-04,Cuscatlán,2517
2025-11-04,Ahuachapán,2618
2025-11-04,Chalatenango,2271
2025-11-04,Morazán,2126
2025-11-04,San Vicente,2484
2025-11-04,La Unión,2420
2025-11-04,Cabañas,2070
